,Repetition,Variable,Jee2,Jie2,Jei2,Jii2,Jee,Jii,Jei,Jme,Jmi
0,0,0.0,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
1,0,0.025,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
2,0,0.05,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
3,0,0.07500000000000001,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
4,0,0.1,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
5,0,0.125,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
6,0,0.15000000000000002,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
7,0,0.17500000000000002,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
8,0,0.2,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
9,0,0.225,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
10,0,0.25,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
11,0,0.275,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
12,0,0.30000000000000004,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
13,0,0.325,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
14,0,0.35000000000000003,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
15,0,0.375,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
16,0,0.4,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
17,0,0.42500000000000004,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
18,0,0.45,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
19,0,0.47500000000000003,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
20,0,0.5,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
21,0,0.525,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
22,0,0.55,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
23,0,0.5750000000000001,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
24,0,0.6000000000000001,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
25,0,0.625,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
26,0,0.65,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
27,0,0.675,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
28,0,0.7000000000000001,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
29,0,0.7250000000000001,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
30,0,0.75,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
31,0,0.775,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
32,0,0.8,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
33,0,0.8250000000000001,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
34,0,0.8500000000000001,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
35,0,0.875,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
36,0,0.9,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
37,0,0.925,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
38,0,0.9500000000000001,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
39,0,0.9750000000000001,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
40,0,1.0,0.0,52.0,66.0,0.0,6.5,55.0,77.0,195.0,330.0
